Theatre_Name,Theatre_Type,Total_Theatre_Seats_Capacity,Theatre_Max_Price_Seats_Capacity,Theatre_Min_Price_Seats_Capacity,State,City,City_Type,Max_Shows_Allowed_Per_Day,Ticket_Price_Max,Ticket_Price_Min,First_Day_Revenue
"Barad, Saini and Krishnamurthy",Multiplex,112,101,11,Jharkhand,Bardhaman,C,5,335,107,175060
"Sachar, Venkatesh and Dora",Single Screen,152,150,2,Sikkim,Chandrapur,C,6,226,57,204084
Nanda Inc,Multiplex,211,204,7,Karnataka,Vellore,C,3,497,100,306264
"Maharaj, Dara and Chaudry",IMAX,212,198,14,Rajasthan,Ratlam,C,5,624,51,621330
"Chaudhary, Hayer and Sastry",Single Screen,316,295,21,Kerala,Ichalkaranji,C,5,289,105,437300
"Ganguly, Dugal and Pandey",Mini,152,150,2,Nagaland,Mango,C,6,259,141,234792
Nigam Inc,Mini,235,234,1,Odisha,Gurgaon,C,6,484,81,680022
Narula-Parmar,IMAX,140,132,8,Maharashtra,Dharmavaram,C,5,634,142,424120
Pathak PLC,Single Screen,135,135,0,Kerala,Raurkela Industrial Township,C,4,605,124,326700
Setty-Khatri,Multiplex,219,216,3,Haryana,Machilipatnam,C,6,352,166,459180
Bajaj Inc,Mini,183,172,11,Punjab,Pondicherry,C,5,317,118,279110
Mani LLC,Multiplex,187,170,17,West Bengal,Coimbatore,C,4,293,168,210664
Golla Ltd,IMAX,238,218,20,West Bengal,Phusro,C,4,560,133,498960
Dave Inc,Multiplex,217,216,1,Bihar,Sri Ganganagar,C,5,415,118,448790
"Varkey, Batta and Mane",Multiplex,208,190,18,Manipur,Nanded,C,5,318,177,318030
Om and Sons,IMAX,334,325,9,Telangana,New Delhi,C,5,281,113,461710
Chand-Thakur,Mini,399,372,27,Odisha,Udupi,C,6,395,106,898812
"Chakraborty, Bava and Sagar",Single Screen,360,329,31,Punjab,Vijayanagaram,C,3,596,62,594018
Raman-Keer,Multiplex,178,173,5,Tamil Nadu,Anantapur,C,6,515,66,536550
Kala-Batta,IMAX,295,276,19,Tripura,New Delhi,C,6,480,114,807876
Shanker LLC,Multiplex,158,150,8,Tamil Nadu,Amroha,C,5,267,125,205250
Sharaf-Barman,IMAX,180,166,14,Maharashtra,Bidar,C,3,698,117,352518
"Dara, Dhar and Sant",Single Screen,359,353,6,Maharashtra,Khora ,C,5,640,179,1134970
Mohan Inc,Single Screen,178,167,11,Meghalaya,Dindigul,C,4,486,185,332788
"Dyal, Suri and Bali",Multiplex,265,250,15,Uttarakhand,Lucknow,C,3,267,142,206640
"Pant, Pingle and Ganesh",Mini,222,221,1,Himachal Pradesh,Thoothukudi,C,4,659,195,583336
Sagar PLC,Multiplex,143,132,11,Goa,Morbi,C,6,627,67,501006
Ratta Ltd,Single Screen,165,150,15,Mizoram,Naihati,C,4,345,185,218100
"Mand, Krishna and Mann",IMAX,208,191,17,Punjab,Panipat,C,4,575,129,448072
Bhalla Group,IMAX,291,277,14,Arunachal Pradesh,Eluru,C,6,271,113,459894
"Bahl, Patil and Raman",Single Screen,132,127,5,Uttarakhand,Panvel,C,3,511,191,197556
"Grover, Sibal and Devan",Single Screen,212,212,0,Assam,Davanagere,C,3,572,65,363792
Padmanabhan LLC,Single Screen,134,134,0,Assam,Bally,C,5,246,181,164820
Ganesan Group,Single Screen,242,221,21,Himachal Pradesh,Muzaffarnagar,C,6,319,188,446682
Saini Group,Single Screen,392,356,36,Sikkim,Jorhat,C,6,334,171,750360
Sura Ltd,IMAX,197,194,3,Arunachal Pradesh,Nagpur,C,3,547,160,319794
Soni Group,Mini,316,290,26,Tripura,Ramagundam,C,6,652,63,1144308
"Palla, Chaudhry and Prashad",Multiplex,131,125,6,Sikkim,Bhavnagar,C,5,619,77,389185
"Om, Date and Narula",Single Screen,198,192,6,Tamil Nadu,Rajkot,C,6,281,158,329400
Dey-Sule,Single Screen,242,228,14,Tripura,Pallavaram,C,4,657,69,603048
"Ranganathan, Virk and Kibe",IMAX,381,375,6,Himachal Pradesh,Ambattur,C,3,543,188,614259
Gala Inc,Multiplex,147,133,14,Arunachal Pradesh,Bettiah,C,4,295,154,165564
Puri-Nadkarni,IMAX,346,333,13,Tripura,Bulandshahr,C,6,672,65,1347726
Dixit-Ratti,Single Screen,294,294,0,Rajasthan,Chandigarh,C,6,345,166,608580
Comar-Shan,Mini,316,285,31,Gujarat,Malegaon,C,4,307,125,365480
"Munshi, Bawa and Varghese",Single Screen,129,120,9,Sikkim,Uluberia,C,3,592,130,216630
"Pai, Wable and Anand",Multiplex,125,116,9,Manipur,Saharanpur,C,6,467,185,335022
Sridhar-Sathe,Single Screen,129,121,8,Meghalaya,Bhind,C,3,645,97,236463
Bhat-Venkatesh,Multiplex,134,124,10,Tripura,Jammu,C,4,416,80,209536
"Vyas, Shah and Dutta",Single Screen,396,358,38,Punjab,Sirsa,C,3,527,70,573978
Mutti-Chaudhry,IMAX,398,362,36,Andhra Pradesh,Tumkur,C,5,688,116,1266160
"Patla, Toor and Choudhry",Single Screen,260,253,7,Goa,Madanapalle,C,5,412,83,524085
"Om, Kannan and Srinivasan",Mini,334,314,20,Sikkim,Naihati,C,3,214,167,211608
Shah-Dewan,Multiplex,137,129,8,Telangana,Nandyal,C,4,469,117,245748
Batta and Sons,Single Screen,278,276,2,Maharashtra,Morbi,C,4,399,122,441472
Rege-Lata,Single Screen,324,305,19,Punjab,Gorakhpur,C,3,551,191,515052
"Saha, Johal and Panchal",Mini,153,149,4,Odisha,Visakhapatnam,C,5,269,77,201945
Chandran-Dass,Single Screen,239,230,9,Maharashtra,New Delhi,C,4,577,137,535772
Anand-Radhakrishnan,Single Screen,235,219,16,Arunachal Pradesh,Kurnool,C,6,338,63,450180
Chad-Ratti,Multiplex,316,299,17,Sikkim,Dehri,C,3,211,135,196152
"Gupta, Seshadri and Garde",Single Screen,234,229,5,Nagaland,Rajkot,C,6,492,159,680778
Biswas-Ravel,Multiplex,157,155,2,Gujarat,Howrah,C,4,489,59,303652
Datta-Chada,Mini,398,363,35,Arunachal Pradesh,Khora ,C,4,430,82,635840
Pillai Ltd,Multiplex,257,246,11,Meghalaya,Guntakal,C,3,670,141,499113
"Sampath, Kapoor and Palan",Single Screen,227,206,21,Punjab,Sonipat,C,3,391,193,253797
Nair-Sahota,IMAX,179,172,7,Rajasthan,Shivpuri,C,4,619,95,428532
Sem-Nadkarni,IMAX,112,110,2,Arunachal Pradesh,Jaunpur,C,5,610,155,337050
